id,name,artist,album,duration,uri
"4jvjzW7Hm0yK4LvvE0Paz9","Falling Down - Bonus Track","Lil Peep, XXXTENTACION","Come Over When You're Sober, Pt. 2","?",""
"4BKetvTh5lMcIDlv9tYQgW","Number One (vocal ver.)","Shiro SAGISU","TV Animation BLEACH Original Soundtrack 1","?",""
"17u0o2N543lAoM7jsH2Cbj","Annihilation","Dropgun","Annihilation","?",""
"2xim40vtvxncHJW5BcMrHN","Solo","Prismo","Solo","?",""
"17rhDgnYYryQU4uS71ZxFu","ギターと孤独と蒼い惑星","kessoku band","ギターと孤独と蒼い惑星","?",""
"5mITiijORXibrZ8NNRNzAx","盛者必衰の理、お断り","KANA-BOON","DOPPEL","?",""
"0jpP8AlQLVtaMwA3vQYpYB","青春コンプレックス","kessoku band","青春コンプレックス","?",""
"5hVepr5CHiTGtJY5bP4i5n","No One Like You","Scorpions","Comeblack","?",""
"0qoWHbeL3N2ldLxh4d37Sh","ILY","Panda Eyes","Kiko","?",""
"5TXDeTFVRVY7Cvt0Dw4vWW","Revenge","XXXTENTACION","17","?",""
"0RDqNCRBGrSegk16Avfzuq","Talk that Talk","TWICE","BETWEEN 1&2","?",""
"308Ir17KlNdlrbVLHWhlLe","The Feels","TWICE","Formula of Love: O+T=<3","?",""
"3zhbXKFjUDw40pTYyCgt1Y","What is Love?","TWICE","Summer Nights","?",""
"37ZtpRBkHcaq6hHy0X98zn","I CAN'T STOP ME","TWICE","Eyes Wide Open","?",""
"4vDF7q98GJ46J3AfBkN8SK","青春なんていらないわ","Sangatsu no Phantasia","ガールズブルー・ハッピーサッド","?",""
"0gdfm20JsNWQND7jt9SDqn","三月がずっと続けばいい","Sangatsu no Phantasia","ガールズブルー・ハッピーサッド","?",""
"6LgbWb24tqwQYOz2LznkMD","パステルレイン","Sangatsu no Phantasia","ガールズブルー・ハッピーサッド","?",""
"1IM8x4lxZVOOP9gpQD6c5s","Danse macabre in G Minor, Op. 40","Camille Saint-Saëns, Slovak Radio Symphony Orchestra, Keith Clark","Saint-Saens: Symphony No. 3 / Piano Concerto No. 2","?",""
"6GVdzDWjImo9rFFGQrE6Hc","Gospel of the Throttle","Dima Lancaster, Broken","Gospel of the Throttle","?",""
"0CXnbPmKHFPoXI9d0JXq2f","Your Lie in April - Medley","AmaLee, Dima Lancaster","Your Lie in April - Medley","?",""
